akane,0.4625062,0.3341121,0.4173153,0.32627535,0.3883151,0.38850045,0.37791657,0.3898824,0.4626634,0.43725562,1.0,0.48524567,0.41954836,0.62411773,0.45754877,0.37161165,0.39227694,0.4548482,0.4804447,0.43618977,0.4206968,0.5015768,0.44293413,0.4086774,0.4133737,0.40498465,0.40105605,0.39089406,0.4358035,0.4411876,0.38365424,0.37416026,0.41221485,0.48740077,0.5603084,0.32456112,0.4193375,0.4597854,0.5215988,0.3273318,0.46393874,0.41502208,0.43524075,0.4308618,0.34936777,0.46212125,0.3858494,0.48915684,0.39749774,0.30013674,0.32783225,0.4011294,0.46714464,0.353504,0.41188726
tomoka,0.59580976,0.44563067,0.5565732,0.30537513,0.5071607,0.39554176,0.567908,0.47230908,0.63955355,0.50781727,0.48524567,1.0,0.58751047,0.4758945,0.5284884,0.53959733,0.52524453,0.57669723,0.53756016,0.5403293,0.6582286,0.81883657,0.59483486,0.47741872,0.6876713,0.54038197,0.6318875,0.49844295,0.59343046,0.60924,0.66919523,0.44803485,0.5420817,0.5832693,0.6260647,0.33696598,0.43504563,0.7644552,0.629358,0.36164778,0.619656,0.6092166,0.5177944,0.6331347,0.32745373,0.62542754,0.5985021,0.5403169,0.44291863,0.29044294,0.33287925,0.46929556,0.4421612,0.44316348,0.6151545
ami,0.6910194,0.5086484,0.40291345,0.27231923,0.39087072,0.38113162,0.7197697,0.39437714,0.62832487,0.66137487,0.41954836,0.58751047,1.0,0.51481646,0.48074758,0.6653536,0.45755157,0.6095975,0.5631654,0.37890533,0.5330717,0.62925506,0.4802548,0.44684687,0.5651739,0.5072341,0.53864634,0.44036222,0.4880612,0.54326624,0.61138666,0.4606799,0.59767216,0.6583413,0.58591425,0.5434792,0.500296,0.5894638,0.5319535,0.57793105,0.5882276,0.7607787,0.7173004,0.48445258,0.2677335,0.8010175,0.6297338,0.630134,0.39606535,0.28084767,0.332361,0.38762215,0.40303037,0.3672379,0.8514295
roko,0.50815403,0.3525314,0.37822488,0.26302496,0.34007874,0.33520442,0.45253003,0.33423716,0.4655798,0.46515244,0.62411773,0.4758945,0.51481646,1.0,0.42635378,0.41806588,0.37136662,0.47263172,0.5085103,0.36138228,0.39656144,0.5189168,0.39179033,0.3760607,0.41740683,0.40139717,0.376787,0.34465066,0.39057028,0.40623817,0.41545227,0.3474323,0.44350544,0.4953923,0.6266708,0.41640356,0.41098487,0.48726988,0.5138068,0.4073468,0.55100757,0.46764305,0.5482588,0.38888547,0.2679801,0.5187959,0.42562568,0.6342123,0.35086936,0.26766604,0.3083566,0.34884235,0.4152026,0.30480573,0.48589063
reika,0.60948336,0.5942935,0.50278366,0.49706125,0.53069574,0.67621744,0.52053344,0.6387291,0.68679667,0.44249266,0.45754877,0.5284884,0.48074758,0.42635378,1.0,0.5390914,0.6814004,0.67982334,0.37517548,0.53918195,0.57846624,0.57990474,0.65135515,0.6498696,0.53969634,0.5339872,0.55959857,0.674593,0.6701353,0.5851495,0.47002593,0.56947386,0.6416677,0.48264995,0.43289798,0.33661616,0.5725217,0.44324178,0.70557433,0.32792127,0.375094,0.5686469,0.47094172,0.6157519,0.40823102,0.53106153,0.5773324,0.385446,0.66249156,0.3621981,0.49691918,0.7189874,0.7149219,0.4758151,0.5206251
yayoi,0.78873736,0.71461195,0.43919238,0.3156006,0.4409729,0.46309343,0.7355425,0.4904997,0.70274925,0.56456447,0.37161165,0.53959733,0.6653536,0.41806588,0.5390914,1.0,0.57756555,0.625226,0.43535316,0.38837624,0.5415954,0.5671639,0.5453111,0.54142284,0.57713896,0.45090085,0.61005527,0.5467794,0.5660099,0.56788015,0.56633323,0.5008702,0.7072173,0.55030924,0.48828265,0.4565742,0.56236494,0.48410606,0.51064235,0.43565488,0.45054764,0.7976923,0.54836494,0.5489543,0.29736122,0.64739364,0.6857929,0.4979842,0.43799856,0.27351132,0.3600075,0.45217425,0.4281561,0.38231972,0.72678435
noriko,0.59378237,0.64296246,0.6227616,0.46153894,0.66114205,0.5812834,0.5078994,0.7336319,0.7040563,0.42476752,0.39227694,0.52524453,0.45755157,0.37136662,0.6814004,0.57756555,1.0,0.6061472,0.35292694,0.5527922,0.5707563,0.5579061,0.74005306,0.7222757,0.55005765,0.44189358,0.56514025,0.7391289,0.7680237,0.61100614,0.46812657,0.47825626,0.7029203,0.44348785,0.42153665,0.30836982,0.54697335,0.42988694,0.5550658,0.29158255,0.35607833,0.5528673,0.399165,0.71604365,0.44088498,0.48975378,0.558422,0.37516397,0.5717113,0.29286218,0.4071921,0.6542476,0.5941508,0.41004562,0.50233823
juria,0.70980287,0.60475147,0.47978485,0.41742602,0.47774574,0.5386137,0.60411036,0.5671259,0.77804756,0.56612456,0.4548482,0.57669723,0.6095975,0.47263172,0.67982334,0.625226,0.6061472,1.0,0.4717817,0.45373353,0.61679995,0.6716996,0.65721494,0.6266564,0.5814252,0.6055998,0.58159155,0.6348782,0.6591292,0.629445,0.553465,0.6445033,0.66122395,0.6397659,0.4765768,0.41740972,0.62304384,0.5358438,0.61446035,0.4242042,0.4545736,0.72132623,0.6052906,0.57807416,0.36493114,0.7013549,0.636573,0.48589435,0.6337903,0.38264096,0.5077244,0.5098175,0.59403366,0.4281148,0.657456
umi,0.49941567,0.3370889,0.38301224,0.25387824,0.32366803,0.31651688,0.42710853,0.34780502,0.48301592,0.6526881,0.4804447,0.53756016,0.5631654,0.5085103,0.37517548,0.43535316,0.35292694,0.4717817,1.0,0.3333888,0.4109217,0.5343844,0.42767715,0.38812134,0.4132725,0.40111375,0.4105039,0.3593415,0.39862564,0.42507198,0.44228798,0.3838049,0.40342268,0.6724242,0.61997664,0.44826669,0.43765506,0.56705964,0.43243968,0.47130737,0.6193923,0.5062194,0.5173529,0.3863248,0.28841072,0.6204072,0.40115383,0.6301938,0.35559618,0.24008355,0.30964005,0.3005839,0.35058132,0.28695622,0.5132274
rituko,0.4236612,0.39175302,0.5922439,0.37763506,0.70526254,0.42379525,0.3978116,0.50037795,0.5080293,0.3456013,0.43618977,0.5403293,0.37890533,0.36138228,0.53918195,0.38837624,0.5527922,0.45373353,0.3333888,1.0,0.57241035,0.5356351,0.5698056,0.4635922,0.53112453,0.4543108,0.49443868,0.5076207,0.5994158,0.57267696,0.44454396,0.36965218,0.48853016,0.384369,0.4180149,0.23570085,0.3719706,0.44848076,0.55549073,0.24633686,0.3593314,0.40727752,0.34273195,0.6716595,0.40988263,0.4020878,0.45046997,0.33507797,0.44405374,0.29369605,0.3008615,0.61779726,0.51085675,0.46682048,0.40393007
